,instrument_token,tradingsymbol,name,instrument_type,segment,exchange
94879,218369,644UK30-SG,,EQ,NSE,NSE
94880,5699073,644UP30-SG,,EQ,NSE,NSE
94881,945921,645BR27-SG,,EQ,NSE,NSE
94882,5746689,645GJ30-SG,,EQ,NSE,NSE
94883,467713,645GJ30A-SG,,EQ,NSE,NSE
94884,3448833,645GS2029-GS,,EQ,NSE,NSE
94885,214529,645HP29-SG,,EQ,NSE,NSE
94886,153345,645MH27-SG,,EQ,NSE,NSE
94887,5746945,645ML30-SG,,EQ,NSE,NSE
94888,5709057,645MN30-SG,,EQ,NSE,NSE
94889,530177,645RJ27-SG,,EQ,NSE,NSE
94890,2020865,645RJ27A-SG,,EQ,NSE,NSE
94891,218881,645RJ30-SG,,EQ,NSE,NSE
94892,251393,646GJ30-SG,,EQ,NSE,NSE
94893,5709569,646JK30-SG,,EQ,NSE,NSE
94894,5719041,646RJ30-SG,,EQ,NSE,NSE
94895,5747201,646RJ30A-SG,,EQ,NSE,NSE
94896,5700865,646WB30-SG,,EQ,NSE,NSE
94897,5484033,647GJ30-SG,,EQ,NSE,NSE
94898,276481,647KA30-SG,,EQ,NSE,NSE
94899,197889,647MH28-SG,,EQ,NSE,NSE
94900,5356033,648AP27-SG,,EQ,NSE,NSE
94901,5385985,648AP32-SG,,EQ,NSE,NSE
94902,252161,648AS30-SG,,EQ,NSE,NSE
94903,5708545,648HR40-SG,,EQ,NSE,NSE
94904,5717761,648KA30-SG,,EQ,NSE,NSE
94905,220417,648KA31-SG,,EQ,NSE,NSE
94906,252929,648MZ30-SG,,EQ,NSE,NSE
94907,2129665,648RJ27-SG,,EQ,NSE,NSE
94908,5699585,649AP33-SG,,EQ,NSE,NSE
94909,349185,649GJ29-SG,,EQ,NSE,NSE
94910,5475841,649KA30-SG,,EQ,NSE,NSE
94911,296449,649KA30A-SG,,EQ,NSE,NSE
94912,5718017,649KA31-SG,,EQ,NSE,NSE
94913,5719809,649MH31-SG,,EQ,NSE,NSE
94914,5629441,649MP24-SG,,EQ,NSE,NSE
94915,5643009,649RJ30-SG,,EQ,NSE,NSE
94916,5666817,649TN50-SG,,EQ,NSE,NSE
94917,5699329,649TS50-SG,,EQ,NSE,NSE
94918,348673,64AP28-SG,,EQ,NSE,NSE
94919,5707777,64GJ30-SG,,EQ,NSE,NSE
94920,216577,64GJ30A-SG,,EQ,NSE,NSE
94921,5699841,64KA30-SG,,EQ,NSE,NSE
94922,5747713,64KA30A-SG,,EQ,NSE,NSE
94923,215809,64KA30B-SG,,EQ,NSE,NSE
94924,248833,64KA30C-SG,,EQ,NSE,NSE
94925,5700097,64KA31-SG,,EQ,NSE,NSE
94926,249089,64MH30-SG,,EQ,NSE,NSE
94927,5560321,650PN23-SG,,EQ,NSE,NSE
94928,215041,651HP30-SG,,EQ,NSE,NSE
94929,194049,651KA30-SG,,EQ,NSE,NSE
94930,422401,651KA30B-SG,,EQ,NSE,NSE
94931,442113,651KA30C-SG,,EQ,NSE,NSE
94932,5483265,651KA31-SG,,EQ,NSE,NSE
94933,389633,652KA30-SG,,EQ,NSE,NSE
94934,316417,652MH30-SG,,EQ,NSE,NSE
94935,5634305,652ML30-SG,,EQ,NSE,NSE
94936,5618945,652MP35-SG,,EQ,NSE,NSE
94937,5630209,652NL30-SG,,EQ,NSE,NSE
94938,254465,652PY30-SG,,EQ,NSE,NSE
94939,5709825,652TS50-SG,,EQ,NSE,NSE
94940,1451777,653CG28-SG,,EQ,NSE,NSE
94941,311041,653HP29-SG,,EQ,NSE,NSE
94942,349441,653KA30-SG,,EQ,NSE,NSE
94943,470785,653TN31-SG,,EQ,NSE,NSE
94944,5356289,654AP30-SG,,EQ,NSE,NSE
94945,296193,654AR30-SG,,EQ,NSE,NSE
94946,5355777,654GA30-SG,,EQ,NSE,NSE
94947,388097,654GA30A-SG,,EQ,NSE,NSE
94948,5431297,654GJ30-SG,,EQ,NSE,NSE
94949,2007809,654GS2032-GS,,EQ,NSE,NSE
94950,371969,654KA30-SG,,EQ,NSE,NSE
94951,2080257,654MH27-SG,,EQ,NSE,NSE
94952,5614593,654MH30-SG,,EQ,NSE,NSE
94953,5708033,654MP35-SG,,EQ,NSE,NSE
94954,5647105,654RJ30-SG,,EQ,NSE,NSE
94955,296961,654RJ30A-SG,,EQ,NSE,NSE
94956,199425,654UP30-SG,,EQ,NSE,NSE
94957,5676289,654WB35-SG,,EQ,NSE,NSE
94958,5516545,655AP28-SG,,EQ,NSE,NSE
94959,221185,655AP33-SG,,EQ,NSE,NSE
94960,5707265,655AP35-SG,,EQ,NSE,NSE
94961,5287169,655AS30-SG,,EQ,NSE,NSE
